Hisse,AI Score,Sinyal,Dip Puanı,Fib Puanı,Dip Durumu,Fib Durumu
YONGA,77.05,ERKEN,73,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
KRTEK,76.2,ERKEN,72,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
KLGYO,74.5,ERKEN,70,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
LILAK,72.8,ERKEN,68,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
GIPTA,72.8,ERKEN,68,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
BERA,72.8,ERKEN,68,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
SRVGY,71.95,ERKEN,67,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
HALKB,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
IHYAY,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
TKNSA,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
KZBGY,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
KENT,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
FORMT,70.25,ERKEN,65,100,SESSİZ_AKUMULASYON_DIP,FIB_ABSOLUTE_BOTTOM
BASCM,68.55,ERKEN,63,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
KARSN,68.2,ERKEN,67,75,SESSİZ_AKUMULASYON_DIP,FIB_EARLY_REBOUND
MEKAG,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
MEDTR,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
YATAS,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
TLMAN,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
DERHL,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BRKVY,66.0,ERKEN,60,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
GRNYO,65.15,ERKEN,59,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
