Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
AVHOL,53,122,75,53.0,61.0,75.0,67.45,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,ACCUMULATION
KMPUR,45,119,72,45.0,59.5,72.0,64.78,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
TBORG,46,129,42,46.0,64.5,42.0,59.13,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
CIMSA,33,110,65,33.0,55.0,65.0,58.55,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION
AGYO,42,107,65,42.0,53.5,65.0,58.48,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
HKTM,47,129,38,47.0,64.5,38.0,58.03,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
KONKA,50,104,63,50.0,52.0,63.0,57.7,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
CUSAN,48,108,57,48.0,54.0,57.0,57.0,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
AGESA,32,103,65,32.0,51.5,65.0,56.18,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION
GEREL,54,115,43,54.0,57.5,43.0,55.67,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
MEKAG,50,102,55,50.0,51.0,55.0,54.65,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
YKBNK,33,97,63,33.0,48.5,63.0,53.73,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION
FONET,55,97,55,55.0,48.5,55.0,53.53,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
CEMTS,44,92,63,44.0,46.0,63.0,53.2,BEKLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
GRNYO,29,113,45,29.0,56.5,45.0,53.12,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
EUHOL,52,109,40,52.0,54.5,40.0,52.63,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
LKMNH,49,96,55,49.0,48.0,55.0,52.6,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
BLUME,43,113,38,43.0,56.5,38.0,52.42,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
PRDGS,43,119,30,43.0,59.5,30.0,51.98,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
OYAKC,45,98,52,45.0,49.0,52.0,51.95,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
ENSRI,40,82,70,40.0,41.0,70.0,51.65,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
