Hisse,Trend,Dip,Volume,fibonacci,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu,fibonacci Durumu
ANHYT,58,158,73,85,58.0,79.0,73.0,75.1,IZLE,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION,FIB_BOTTOM_ZONE
CUSAN,60,137,68,95,60.0,68.5,68.0,73.32,IZLE,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION,FIB_236_RECLAIM
AKMGY,52,133,53,95,52.0,66.5,53.0,68.03,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL,FIB_236_RECLAIM
ENSRI,63,129,58,85,63.0,64.5,58.0,68.03,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
CIMSA,52,132,53,95,52.0,66.0,53.0,67.85,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL,FIB_236_RECLAIM
BAYRK,43,125,63,95,43.0,62.5,63.0,66.83,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION,FIB_236_RECLAIM
RUZYE,50,116,63,85,50.0,58.0,63.0,64.15,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION,FIB_BOTTOM_ZONE
KZGYO,30,114,68,85,30.0,57.0,68.0,60.8,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION,FIB_BOTTOM_ZONE
MEKAG,47,121,43,85,47.0,60.5,43.0,60.42,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
GLCVY,41,110,53,85,41.0,55.0,53.0,59.3,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
MRGYO,46,110,48,85,46.0,55.0,48.0,59.3,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
REEDR,47,98,43,95,47.0,49.0,43.0,58.9,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_236_RECLAIM
DOHOL,50,103,35,95,50.0,51.5,35.0,58.77,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION,FIB_236_RECLAIM
LIDFA,42,115,45,85,42.0,57.5,45.0,58.77,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
MSGYO,37,126,40,85,37.0,63.0,40.0,58.7,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
DAPGM,43,131,25,85,43.0,65.5,25.0,57.77,ERKEN,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
PNSUT,36,107,53,85,36.0,53.5,53.0,57.77,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
TRMET,38,83,55,95,38.0,41.5,55.0,56.88,ERKEN,EARLY_REBOUND,STRONG_DIP,NEUTRAL,FIB_236_RECLAIM
BOBET,38,116,23,95,38.0,58.0,23.0,56.25,ERKEN,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
EUHOL,28,104,55,85,28.0,52.0,55.0,56.05,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
AGESA,43,109,45,75,43.0,54.5,45.0,55.42,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_GOLDEN_RATIO_SUPPORT
DOGUB,55,118,68,40,55.0,59.0,68.0,55.25,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION,FIB_MID_ZONE
ENJSA,43,99,40,85,43.0,49.5,40.0,55.17,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
BULGS,48,104,28,85,48.0,52.0,28.0,54.65,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
LKMNH,34,74,68,85,34.0,37.0,68.0,54.6,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,EARLY_ACCUMULATION,FIB_BOTTOM_ZONE
OZGYO,39,89,33,95,39.0,44.5,33.0,53.73,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_236_RECLAIM
SEKFK,34,88,50,85,34.0,44.0,50.0,53.45,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
GARFA,53,115,63,40,53.0,57.5,63.0,53.33,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION,FIB_MID_ZONE
KONKA,39,87,45,85,39.0,43.5,45.0,53.27,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_BOTTOM_ZONE
EMNIS,41,94,23,95,41.0,47.0,23.0,53.0,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
TCELL,40,89,28,95,40.0,44.5,28.0,52.92,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
AKENR,44,87,23,95,44.0,43.5,23.0,52.38,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
KIMMR,31,104,33,85,31.0,52.0,33.0,52.25,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
DOAS,38,115,15,85,38.0,57.5,15.0,51.98,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
TERA,42,84,38,85,42.0,42.0,38.0,51.95,BEKLE,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
BLUME,33,57,68,85,33.0,28.5,68.0,51.42,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,EARLY_ACCUMULATION,FIB_BOTTOM_ZONE
GEDZA,37,107,18,85,37.0,53.5,18.0,50.98,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KLRHO,52,89,18,85,52.0,44.5,18.0,50.83,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
HKTM,42,97,20,85,42.0,48.5,20.0,50.62,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
MARTI,36,78,28,95,36.0,39.0,28.0,50.2,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
